exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
2:risk,,new,both right,1708,Party A,Party A,yes,no,no,no,yes,no,yes,-5,-6,-1,11,-6,-5,1,-11,,,2,3,3,-3,weder/noch,unsicher,2,,,29,Abitur,f,groß,groß,1,weniger stark,manchmal Risiken,affin,ziemlich zufrieden,-3,weder/noch,,,
2:risk,,new,left/right,1711,Party A,Party A,yes,yes,no,no,no,no,yes,-2,-5,-3,21,-5,-2,3,-21,,,-3,4,4,-1,ziemlich sicher,sicher,-3,,,57,Hauptschule,f,gering,gering,1,weniger stark,Sicherheit,avers,ziemlich unzufrieden,-1,weder/noch,,,
2:risk,,new,both left,1712,Party A,Party A,no,no,no,no,no,no,yes,-2,-1,1,-3,-1,-2,-1,3,,,-2,-1,-1,0,ziemlich sicher,sicher,-2,,,25,Abitur,f,sehr groß,groß,3,weniger stark,manchmal Risiken,affin,ziemlich zufrieden,-2,weder/noch,,,
2:risk,,new,both right,1713,Party B,Party A,yes,no,no,no,yes,no,no,-3,-4,-1,7,-3,-4,-1,7,,,0,1,0,-3,ziemlich sicher,sicher,1,,,64,Hauptschule,m,groß,groß,1,mittelmäßig,manchmal Risiken,affin,ziemlich zufrieden,-1,ziemlich sicher,,,
2:risk,,new,left/right,1717,Party B,Party B,yes,no,no,no,no,no,yes,-5,-3,2,-16,-5,-3,2,-16,,,-4,4,-4,1,ziemlich sicher,sicher,4,,,47,Hauptschule,f,groß,groß,1,mittelmäßig,keine Vorlieben,neutral,teils/ teils,-2,ziemlich sicher,,,
2:risk,,new,left/right,1718,Party A,Party A,yes,no,no,no,no,no,yes,-3,-3,0,0,-3,-3,0,0,,,-3,3,3,0,sehr sicher,sicher,-3,,,68,Realschule,f,groß,groß,3,mittelmäßig,unbedingte Sicherheit,avers,ziemlich zufrieden,0,ziemlich sicher,,,
2:risk,,new,left/right,1721,Party A,Party B,no,no,yes,yes,no,no,no,-1,-4,-3,15,-4,-1,3,-15,,,-1,4,4,0,ziemlich sicher,sicher,-1,,,67,Hauptschule,m,gering,gering,0,mittelmäßig,manchmal Risiken,affin,teils/ teils,-2,ziemlich sicher,,,
2:risk,,new,both right,1723,Party A,Party A,yes,no,no,no,yes,no,yes,-1,-3,-2,8,-3,-1,2,-8,,,-2,0,0,-3,ziemlich sicher,sicher,-2,,,28,Hochschulstudium,f,sehr groß,groß,1,mittelmäßig,manchmal Risiken,affin,ziemlich zufrieden,-2,ziemlich sicher,,,
2:risk,,new,both right,1731,Party A,Party A,yes,yes,no,no,yes,no,yes,-1,-6,-5,35,-6,-1,5,-35,,,-1,4,4,-2,sehr sicher,sicher,-1,,,26,Hochschulstudium,f,groß,groß,1,mittelmäßig,manchmal Risiken,affin,ziemlich zufrieden,-1,weder/noch,,,
2:risk,,new,left/right,1732,Party B,Party B,yes,no,no,no,no,no,yes,-5,-1,4,-24,-5,-1,4,-24,,,-4,2,-4,1,ziemlich sicher,sicher,2,,,43,Hauptschule,m,groß,groß,0,mittelmäßig,Sicherheit,avers,teils/ teils,-2,ziemlich sicher,,,
